top1,wom,sm,walk,billboard,patronage,importantconvenience,importantvariety,importantprice,importanthealthy,importanttaste,importantambience,chipotleconvenient,chipotlevariety,chipotleprice,chipotlehealthy,chipotletaste,chipotleambience,female,age,income,plan,spending,buylocal,healthyimportanttome,
In-n-out,0,0,1,0,0,5,4,5,5,5,5,3,4,5,5,5,4,0,52,20942,3,3,2,1,
Chick-Fil-A,0,0,1,0,1,5,3,5,2,5,4,3,2,4,4,4,4,0,35,24330,3,2,,3,
Chipotle,1,0,0,0,0,5,5,5,5,5,5,3,3,3,4,3,4,0,37,41052,2,2,2,2,
Chipotle,0,0,1,0,0,5,4,5,5,5,4,4,4,4,5,5,5,0,33,86277,2,3,2,2,
Panera,0,0,0,0,2,4,4,5,5,5,4,3,4,3,4,4,3,0,49,54651,1,4,2,2,
Chick-Fil-A,1,0,0,0,0,5,4,4,4,5,4,5,5,4,4,4,4,0,21,58742,2,4,2,2,
Chipolte,0,0,0,0,1,5,4,5,5,5,4,3,3,4,5,5,4,0,24,58416,1,4,2,1,
KFC,1,0,0,0,0,4,5,5,5,5,5,5,5,5,5,5,5,0,25,29001,1,2,1,1,
Chick-Fil-A,1,0,0,0,0,5,5,5,5,5,3,3,5,5,5,5,4,0,31,40076,2,2,2,2,
Chick-Fil-A,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
Chipotle,1,0,0,0,3,5,5,5,4,5,4,3,3,4,5,3,3,0,38,39680,1,2,2,2,
Chipotle,0,0,1,0,0,5,3,5,5,5,5,5,5,5,5,5,5,0,45,36810,3,2,2,1,
In-n-out,1,0,0,0,0,4,4,4,3,5,4,3,3,3,5,5,4,1,40,81393,2,4,2,1,
Chick-Fil-A,1,0,0,0,1,4,4,5,5,5,4,3,3,1,3,3,3,0,39,15629,2,2,1,1,
Chick-Fil-A,1,0,0,0,0,4,4,5,5,5,4,4,5,5,5,5,4,1,33,72657,1,2,1,1,
Chick-Fil-A,0,0,0,0,2,,,,,,,,,,,,,0,56,27994,2,2,2,2,
McDonalds,1,0,0,0,1,5,4,5,4,5,4,3,3,2,5,5,3,1,32,24334,2,3,5,3,
Chick-Fil-A,0,0,1,0,0,5,5,5,4,4,3,3,3,2,,4,3,0,64,59518,2,2,2,3,
Arbys,1,0,0,0,0,4,4,4,4,4,3,4,4,4,5,5,5,0,51,14502,2,2,2,2,
Chick-fil-a,1,0,0,0,0,4,4,4,5,5,5,3,3,3,3,3,3,1,34,17145,2,3,1,1,
In-n-out,1,0,0,0,2,4,4,5,4,5,4,5,3,4,4,4,4,1,69,34164,3,3,2,3,
Chick-Fil-A,0,0,1,0,0,4,5,5,5,5,4,4,5,5,5,5,3,0,54,44372,1,4,1,1,
Applebees,1,0,0,0,0,4,4,5,4,5,5,5,5,4,5,5,5,0,51,23649,2,2,5,2,
Chick-Fil-A,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Mcdondalds,0,0,0,0,5,2,,,,,,,,,,,,,,,,,,,
Chick-Fil-A,1,0,0,0,0,5,5,5,5,5,5,5,5,2,5,5,5,0,35,53772,3,2,2,2,
Chick-Fil-A,1,0,0,0,0,5,5,5,5,5,5,3,3,3,4,4,3,0,45,16333,2,2,2,2,
KFC,1,0,0,0,0,5,5,5,5,5,4,5,5,2,5,5,5,1,45,42612,3,3,1,1,
Chick-Fil-A,1,0,0,0,0,5,4,4,5,5,4,5,5,4,5,5,3,0,48,23232,2,3,2,1,
Chick-Fil-A,0,0,0,0,2,,,,,,,,,,,,,0,32,14108,2,1,1,1,
panera,1,0,0,0,1,4,4,5,5,5,4,5,5,5,5,5,5,0,36,38296,1,3,2,1,
Chick-Fil-A,0,0,1,0,0,5,4,5,5,5,5,4,3,4,4,4,3,1,33,13572,1,1,2,2,
Chick-Fil-A,1,0,0,0,0,5,5,5,5,5,4,4,3,3,4,4,4,1,32,47226,2,4,2,2,
Panera,1,0,0,0,0,5,4,5,4,5,4,5,3,2,4,3,3,0,38,50294,1,4,2,1,
Outback,1,0,0,0,0,5,5,5,5,5,5,2,3,3,4,4,3,0,35,69465,1,2,2,2,
Chick-Fil-A,1,0,0,0,3,5,5,5,5,5,5,4,4,4,4,4,4,0,46,36060,1,4,2,2,
Chick-Fil-A,0,0,1,0,0,5,4,5,4,,4,4,3,4,4,5,4,0,52,85353,1,3,2,2,
In-n-out,0,0,1,0,0,4,4,5,5,5,4,4,4,2,4,4,3,0,54,19970,2,3,2,1,
In-n-out,1,0,0,0,3,5,3,4,5,5,4,3,3,4,5,5,3,0,58,51927,2,4,1,1,
Chick-Fil-A,1,0,0,0,0,5,4,4,3,4,2,5,3,4,4,4,3,0,69,83778,3,4,2,2,
Panera,0,0,0,0,6,4,4,5,4,5,4,3,4,3,4,4,3,0,47,62550,1,4,2,2,
Chipotle,1,0,0,0,0,5,4,5,3,5,4,3,3,3,6,4,3,0,21,25375,2,3,2,3,
Chipotle,0,0,1,0,0,5,2,5,5,5,1,5,2,1,5,5,3,0,30,41362,1,4,4,1,
In-n-out Kebob Shop,0,0,1,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,48,27646,1,4,1,1,
Chick-Fil-A,1,0,0,0,0,4,4,4,4,5,4,4,3,3,4,4,3,0,32,86649,2,3,3,3,
